storetype,id,lat,lon,year
high_end_liq,026100,37.717016,-122.440606,2000
high_end_groc,010600,37.800049,-122.405865,2000
high_end_groc,016802,37.773988,-122.423202,2000
low_end_groc,012301,37.784871,-122.412795,2000
low_end_groc,040100,37.783039,-122.462697,2000
low_end_groc,020100,37.765999,-122.419757,2000
high_end_liq,026100,37.722478,-122.436479,2000
liq,042601,37.782245,-122.47976,2000
high_end_groc,042700,37.782033,-122.484399,2000
high_end_groc,045200,37.779,-122.46645,2000
high_end_groc,011100,37.791692,-122.41924,2000
low_end_groc,026200,37.712092,-122.451984,2000
high_end_liq,980900,37.74483,-122.404162,2000
high_end_liq,015600,37.78134,-122.455917,2000
high_end_groc,980900,37.741875,-122.406026,2000
high_end_groc,040200,37.78180800000001,-122.465419,2000
high_end_liq,060502,37.70845300000001,-122.420336,2000
low_end_groc,013000,37.796791,-122.430376,2000
groc,015900,37.782274,-122.427469,2000
low_end_groc,026302,37.709849,-122.445541,2000
high_end_groc,013200,37.792575,-122.434596,2000
low_end_liq,017102,37.76601,-122.45001299999998,2000
low_end_liq,030202,37.761923,-122.466158,2000
liq,061200,37.737091,-122.389975,2000
high_end_groc,035202,37.760514,-122.504105,2000
high_end_groc,018000,37.770594,-122.40766200000002,2000
high_end_groc,015400,37.783441,-122.44725,2000
high_end_groc,011300,37.794051,-122.407909,2000
high_end_groc,040100,37.783046,-122.462544,2000
high_end_groc,010900,37.797267,-122.422059,2000
high_end_groc,061400,37.754812,-122.397916,2000
low_end_groc,035400,37.74175200000001,-122.505238,2000
high_end_groc,015400,37.78655,-122.452006,2000
low_end_groc,035201,37.752991,-122.504811,2000
high_end_groc,061100,37.796647,-122.406787,2000
groc,010600,37.799343,-122.406247,2000
low_end_groc,047801,37.775914,-122.492852,2000
low_end_groc,010700,37.796769,-122.407952,2000
high_end_liq,061200,37.73801,-122.389665,2000
high_end_groc,012000,37.787291,-122.420024,2000
low_end_groc,025500,37.724435,-122.434998,2000
low_end_liq,011700,37.793905,-122.396506,2000
high_end_groc,021300,37.748513,-122.433826,2000
high_end_groc,013102,37.79023400000001,-122.423423,2000
low_end_groc,021000,37.752059,-122.422928,2000
low_end_groc,031201,37.721824,-122.461721,2000
low_end_groc,061100,37.795406,-122.406531,2010
low_end_groc,010300,37.80005,-122.412481,2010
high_end_groc,020100,37.773284,-122.42147,2010
low_end_liq,032902,37.753652,-122.489976,2010
