year,id,mhi,mgr,groc,high_end_groc,liq,low_end_groc
2000,022903,99405.83264,916.0,0.0,1.0,1.0,0.0
2000,023001,63382.31225,702.0,0.0,0.0,0.0,0.0
2000,023003,64099.87531,952.0,0.0,0.0,0.0,0.0
2000,023102,44363.97727,308.0,0.0,0.0,0.0,0.0
2000,023103,20402.68398,407.0,0.0,0.0,1.0,0.0
2000,023200,55335.88667000001,790.0,0.0,1.0,0.0,0.0
2000,023300,62572.44737,735.0,0.0,0.0,0.0,0.0
2000,023400,44507.90191,399.0,0.0,0.0,1.0,0.0
2000,025100,90985.96769,1118.0,0.0,0.0,0.0,0.0
2000,025200,83903.31061,1168.0,0.0,1.0,0.0,0.0
2000,025300,75948.65196,936.0,0.0,1.0,0.0,0.0
2000,025401,59003.95408,839.0,0.0,1.0,0.0,0.0
2000,025402,70516.95637999999,956.0,0.0,0.0,0.0,0.0
2000,025403,60213.94501,840.0,0.0,0.0,0.0,0.0
2000,025500,72135.32495,1181.0,0.0,1.0,0.0,1.0
2000,025600,76523.25976,1199.0,0.0,0.0,0.0,0.0
2000,025701,64504.25119,904.0,0.0,0.0,1.0,0.0
2000,025702,64448.57539,904.0,0.0,0.0,1.0,1.0
2000,025800,70630.64031,846.0,0.0,0.0,0.0,0.0
2000,025900,75912.51282,1138.0,0.0,0.0,0.0,0.0
2000,026001,62585.79439,908.0,0.0,0.0,0.0,0.0
2000,026002,72375.51622,1269.0,0.0,0.0,1.0,0.0
2000,026003,71824.13442,1028.0,0.0,0.0,0.0,0.0
2000,026004,67278.35724,1107.0,0.0,1.0,0.0,0.0
2000,026100,74379.90276,1001.0,0.0,0.0,2.0,0.0
2000,026200,75377.80041,1062.0,0.0,0.0,0.0,1.0
2000,026301,66235.59322000001,1011.0,0.0,0.0,0.0,0.0
2000,026302,69645.87353,971.0,0.0,0.0,0.0,1.0
2000,026303,63858.23171,932.0,0.0,0.0,0.0,0.0
2000,026401,58126.84471000001,938.0,0.0,0.0,0.0,0.0
2000,026402,71121.99287,783.0,0.0,0.0,0.0,0.0
2000,026403,56641.70752,873.0,0.0,0.0,0.0,0.0
2000,026404,66684.19099,1010.0,0.0,0.0,0.0,0.0
2000,030101,106899.0398,1064.0,0.0,0.0,0.0,0.0
2000,030102,165497.1706,1099.0,0.0,0.0,1.0,0.0
2000,030201,77952.88343999999,979.0,0.0,0.0,0.0,0.0
2000,030202,96914.70952,1013.0,0.0,1.0,1.0,0.0
2000,030301,98220.52092,1201.0,0.0,0.0,0.0,0.0
2000,030302,113478.1072,1245.0,0.0,0.0,0.0,0.0
2000,030400,131363.3582,1215.0,0.0,1.0,1.0,0.0
2000,030500,144524.5318,763.0,0.0,0.0,0.0,0.0
2000,030600,137563.3333,1268.0,0.0,0.0,0.0,0.0
2000,030700,116982.3417,1713.0,0.0,0.0,0.0,0.0
2000,030800,145216.8385,1165.0,0.0,0.0,0.0,1.0
2000,030900,151697.5041,1651.0,0.0,0.0,0.0,0.0
2000,031000,125314.3813,1318.0,0.0,0.0,0.0,0.0
2000,031100,80167.53195,961.0,0.0,1.0,0.0,0.0
2000,031201,73906.43374,996.0,0.0,0.0,0.0,2.0
2000,031202,74001.87557999999,996.0,0.0,1.0,0.0,0.0
2000,031301,71845.30769,1048.0,0.0,0.0,0.0,0.0
2000,031302,71741.00177999999,1048.0,0.0,0.0,1.0,0.0
2000,031400,70193.03057,1011.0,0.0,1.0,0.0,0.0
2000,032601,86738.38437,1025.0,0.0,0.0,0.0,3.0
2000,032602,86675.67245,1025.0,0.0,0.0,0.0,0.0
2000,032700,84134.87312999999,1230.0,0.0,0.0,0.0,0.0
2000,032801,78120.23395,1179.0,0.0,0.0,0.0,0.0
2000,032802,78106.30833,1179.0,0.0,0.0,0.0,0.0
2000,032901,80276.46817000001,1416.0,0.0,0.0,1.0,0.0
2000,032902,80143.76058,1416.0,0.0,1.0,1.0,0.0
2000,033000,95351.60183,1269.0,0.0,0.0,0.0,0.0
2000,033100,116574.4498,2001.0,0.0,0.0,0.0,0.0
2000,033201,55902.61628,1246.0,0.0,0.0,0.0,0.0
2000,033203,66713.45404,1098.0,0.0,0.0,0.0,0.0
2000,033204,66689.54675,1098.0,0.0,0.0,0.0,0.0
2000,035100,83315.92179,1210.0,0.0,0.0,0.0,0.0
2000,035201,77258.28743,991.0,0.0,0.0,0.0,1.0
2000,035202,68478.99441,954.0,0.0,1.0,0.0,0.0
2000,035300,71903.58852,1149.0,0.0,0.0,1.0,1.0
2000,035400,70333.12446,965.0,0.0,0.0,1.0,1.0
2000,040100,114594.378,966.0,0.0,1.0,0.0,1.0
2000,040200,117998.8126,1090.0,0.0,1.0,0.0,0.0
2000,042601,95181.75262,956.0,0.0,0.0,1.0,0.0
2000,042602,95063.21132,956.0,0.0,0.0,0.0,0.0
2000,042700,75501.51879,892.0,0.0,1.0,0.0,0.0
2000,042800,278294.382,1147.0,0.0,0.0,0.0,0.0
2000,045100,83824.59485,970.0,0.0,0.0,0.0,0.0
2000,045200,92155.98923,1003.0,0.0,2.0,0.0,0.0
2000,047600,82527.78242999999,1042.0,0.0,0.0,0.0,1.0
2000,047701,60396.0539,995.0,0.0,0.0,1.0,0.0
2000,047702,90262.95117,992.0,0.0,0.0,0.0,0.0
2000,047801,86873.52958,1000.0,0.0,0.0,0.0,1.0
2000,047802,86697.91856,1000.0,0.0,0.0,0.0,0.0
2000,047901,77738.42202,963.0,0.0,1.0,0.0,0.0
2000,047902,85081.85012,1104.0,0.0,0.0,0.0,0.0
2000,060100,83060.3856,1736.0,0.0,0.0,0.0,0.0
2000,060400,103206.6667,1103.0,0.0,0.0,0.0,0.0
2000,060502,31042.36641,216.0,0.0,0.0,1.0,0.0
2000,060700,34440.71875,641.0,0.0,0.0,0.0,0.0
2000,061000,74071.36742000001,949.0,0.0,0.0,0.0,0.0
2000,061100,29516.93122,325.0,0.0,1.0,0.0,1.0
2000,061200,43909.32643,674.0,0.0,0.0,2.0,0.0
2000,061400,84294.74762000001,647.0,1.0,2.0,0.0,0.0
2000,061500,133838.5742,1740.0,0.0,2.0,1.0,0.0
2000,980200,94435.71429,1366.0,0.0,0.0,0.0,0.0
2000,980300,26740.8,1097.0,0.0,0.0,0.0,0.0
2000,980401,95031.83966,1103.0,0.0,0.0,0.0,0.0
2000,980501,66260.80722999999,855.0,0.0,0.0,0.0,0.0
2000,980600,45965.49296,611.0,0.0,0.0,0.0,0.0
2000,980900,60887.96667,490.0,0.0,1.0,1.0,0.0
2000,990100,74733.12763999999,977.0,0.0,0.0,0.0,0.0
2010,010100,79005.364,1498.216882,0.0,3.0,0.0,0.0
2010,010200,138262.2288,1766.4863699999999,0.0,1.0,0.0,0.0
2010,010300,145232.6886,2000.0,0.0,0.0,0.0,1.0
2010,010400,142678.4448,2000.0,0.0,2.0,0.0,0.0
2010,010500,189825.6704,2000.0,0.0,2.0,1.0,0.0
2010,010600,68605.37443,1156.0596130000001,1.0,2.0,2.0,1.0
2010,010700,46637.96832,604.7430815,2.0,5.0,0.0,8.0
2010,010800,141233.6544,1582.3352810000001,0.0,1.0,0.0,0.0
2010,010900,153128.4507,1542.549552,1.0,4.0,1.0,0.0
2010,011000,95268.6333,1112.863678,1.0,0.0,3.0,0.0
2010,011100,79714.68671000001,1190.161666,0.0,4.0,0.0,1.0
2010,011200,142869.4163,1710.7863489999993,0.0,1.0,0.0,0.0
2010,011300,44405.42055,599.0594058999999,4.0,2.0,0.0,2.0
2010,011700,47441.64005,898.0207412999997,0.0,0.0,5.0,0.0
2010,011800,50214.13699,711.5961823,0.0,0.0,0.0,1.0
2010,011901,76673.92027999999,1207.212693,0.0,1.0,0.0,1.0
2010,011902,101682.0928,1342.484171,0.0,2.0,1.0,0.0
2010,012000,54526.91002,1148.102467,0.0,1.0,0.0,2.0
2010,012100,48337.38732,1235.631071,1.0,0.0,1.0,1.0
2010,012201,58496.38905,1114.000413,0.0,0.0,0.0,5.0
2010,012202,44423.60832,944.626881,0.0,0.0,0.0,2.0
2010,012301,30887.366560000002,667.2635128,0.0,0.0,1.0,2.0
2010,012302,41869.36451,1107.180003,0.0,4.0,4.0,0.0
2010,012401,32926.66936,835.5003098999997,0.0,1.0,1.0,5.0
2010,012402,39175.30229,963.951378,0.0,1.0,1.0,0.0
2010,012501,21763.930519999998,634.2981945,1.0,1.0,1.0,0.0
2010,012502,18191.17205,519.4879478,0.0,0.0,0.0,1.0
2010,012601,149329.4819,2000.0,0.0,0.0,0.0,0.0
2010,012602,207138.1462,2000.0,0.0,1.0,0.0,0.0
2010,012700,187561.2941,1959.7313390000002,0.0,0.0,1.0,0.0
2010,012800,162114.3418,1891.5272320000001,0.0,2.0,5.0,0.0
2010,012901,133309.4739,1949.500723,0.0,0.0,0.0,0.0
2010,012902,159141.7794,1791.4945420000001,0.0,1.0,0.0,0.0
2010,013000,156705.7561,2000.0,0.0,1.0,1.0,2.0
2010,013101,162589.497,1944.953783,0.0,0.0,0.0,0.0
2010,013102,188201.2759,2000.0,0.0,1.0,0.0,0.0
2010,013200,286420.8736,2000.0,0.0,2.0,0.0,0.0
2010,013300,250598.9399,2000.0,0.0,0.0,1.0,0.0
2010,013400,234299.2951,1860.835384,0.0,2.0,0.0,0.0
2010,013500,155954.3742,1680.0945010000007,0.0,0.0,2.0,1.0
2010,015100,121862.5513,1627.804685,0.0,0.0,0.0,1.0
2010,015200,114668.1548,1533.4556710000006,0.0,1.0,0.0,0.0
2010,015300,178068.4191,1616.437334,0.0,0.0,0.0,0.0
2010,015400,138712.3759,1723.2904350000001,0.0,2.0,1.0,0.0
2010,015500,77526.47162000001,1533.4556710000006,0.0,1.0,0.0,1.0
2010,015600,109117.4772,1561.874049,0.0,0.0,1.0,0.0
2010,015700,130644.9668,1740.341462,0.0,1.0,0.0,1.0
2010,015801,92565.47718999999,1291.331091,0.0,0.0,0.0,0.0
