year,id,mhi,mgr
2012,012901,160622.1427,1976.64888
2013,012901,172966.3196,1914.308485
2014,012901,156326.3399,1952.745267
2010,012902,159141.7794,1791.494542
2011,012902,155440.1163,1789.253096
2012,012902,132556.3181,1778.120826
2013,012902,136459.3803,1841.493003
2014,012902,127372.7611,1752.64788
2010,013000,156705.7561,2000.0
2011,013000,150258.4837,2000.0
2012,013000,146028.1729,2000.0
2013,013000,159762.4454,1994.511046
2014,013000,161607.8848,1971.215795
2010,013101,162589.497,1944.953783
2011,013101,164384.166,2000.0
2012,013101,170860.3639,2000.0
2013,013101,169129.2602,2000.0
2014,013101,165604.7018,2000.0
2010,013102,188201.2759,2000.0
2011,013102,189337.3223,2000.0
2012,013102,173138.0417,2000.0
2013,013102,142754.226,2000.0
2014,013102,170797.9986,2000.0
2010,013200,286420.8736,2000.0
2011,013200,266851.3117,2000.0
2012,013200,282119.1535,2000.0
2013,013200,256364.319,2000.0
2014,013200,263848.4142,2000.0
2010,013300,250598.9399,2000.0
2011,013300,254635.6432,2000.0
2012,013300,263144.619,2000.0
2013,013300,268252.238,2000.0
2014,013300,249934.9759,2000.0
2010,013400,234299.2951,1860.835384
2011,013400,209061.2064,1788.145199
2012,013400,201040.9438,1841.779278
2013,013400,184460.6128,1976.570999
2014,013400,177799.3549,2000.0
2010,013500,155954.3742,1680.094501
2011,013500,152067.6789,1651.873911
2012,013500,147180.4987,1724.172986
2013,013500,146728.474,1739.129208
2014,013500,147901.7269,1732.125071
2010,015100,121862.5513,1627.804685
2011,015100,128364.23,1912.229624
2012,015100,114926.1638,1834.22658
2013,015100,106554.3782,1868.930721
2014,015100,102033.249,1895.281402
2010,015200,114668.1548,1533.455671
2011,015200,113310.1303,1583.184318
2012,015200,123640.898,1586.066514
2013,015200,109177.8462,1536.512213
2014,015200,97504.89121,1558.707336
2010,015300,178068.4191,1616.437334
2011,015300,184611.0352,1603.126458
2012,015300,150872.6889,1640.014354
2013,015300,158618.5036,1817.221175
2014,015300,154172.4711,1833.712975
2010,015400,138712.3759,1723.290435
2011,015400,138524.7502,1681.78712
2012,015400,146872.996,1794.305178
2013,015400,144889.0916,1901.644923
2014,015400,141664.8453,1898.359823
2010,015500,77526.47162,1533.455671
2011,015500,93473.24067,1501.199966
2012,015500,91316.43083,1640.014354
2013,015500,101174.4749,1495.355636
2014,015500,95663.99525,1432.492061
2010,015600,109117.4772,1561.874049
2011,015600,121182.8439,1494.552586
2012,015600,122294.3599,1371.354108
2013,015600,111655.6832,1585.055868
2014,015600,123693.0215,1583.334706
2010,015700,130644.9668,1740.341462
2011,015700,124114.3384,1584.292215
2012,015700,122907.2073,1578.513816
2013,015700,119812.0725,1653.650163
2014,015700,119175.9513,1752.64788
2010,015801,92565.47719,1291.331091
