year,id,mhi,mgr
2000,035400,70333.12446,965.0
2000,040100,114594.37800000001,966.0
2000,040200,117998.8126,1090.0
2000,042601,95181.75262,956.0
2000,042602,95063.21132,956.0
2000,042700,75501.51879,892.0
2000,042800,278294.382,1147.0
2000,045100,83824.59485,970.0
2000,045200,92155.98922999999,1003.0
2000,047600,82527.78242999999,1042.0
2000,047701,60396.0539,995.0
2000,047702,90262.95117,992.0
2000,047801,86873.52958,1000.0
2000,047802,86697.91856,1000.0
2000,047901,77738.42202,963.0
2000,047902,85081.85012,1104.0
2000,060100,83060.3856,1736.0
2000,060400,103206.6667,1103.0
2000,060502,31042.366410000002,216.0
2000,060700,34440.71875,641.0
2000,061000,74071.36742000001,949.0
2000,061100,29516.93122,325.0
2000,061200,43909.32643,674.0
2000,061400,84294.74762000001,647.0
2000,061500,133838.5742,1740.0
2000,980200,94435.71429,1366.0
2000,980300,26740.8,1097.0
2000,980401,95031.83966,1103.0
2000,980501,66260.80722999999,855.0
2000,980600,45965.49296,611.0
2000,980900,60887.96667,490.0
2000,990100,74733.12763999999,977.0
2010,010100,79005.364,1498.216882
2010,010200,138262.2288,1766.48637
2010,010300,145232.6886,2000.0
2010,010400,142678.4448,2000.0
2010,010500,189825.6704,2000.0
2010,010600,68605.37443,1156.059613
2010,010700,46637.96832,604.7430815
2010,010800,141233.6544,1582.335281
2010,010900,153128.4507,1542.549552
2010,011000,95268.6333,1112.863678
2010,011100,79714.68671,1190.161666
2010,011200,142869.4163,1710.786349
2010,011300,44405.42055,599.0594059
2010,011700,47441.64005,898.0207413
2010,011800,50214.13699,711.5961823
2010,011901,76673.92028,1207.212693
2010,011902,101682.0928,1342.484171
2010,012000,54526.91002,1148.102467
2010,012100,48337.38732,1235.631071
2010,012201,58496.38905,1114.000413
2010,012202,44423.60832,944.626881
2010,012301,30887.36656,667.2635128
2010,012302,41869.36451,1107.180003
2010,012401,32926.66936,835.5003099
2010,012402,39175.30229,963.951378
2010,012501,21763.93052,634.2981945
2010,012502,18191.17205,519.4879478
2010,012601,149329.4819,2000.0
2010,012602,207138.1462,2000.0
2010,012700,187561.2941,1959.731339
2010,012800,162114.3418,1891.527232
2010,012901,133309.4739,1949.500723
2010,012902,159141.7794,1791.494542
2010,013000,156705.7561,2000.0
2010,013101,162589.497,1944.953783
2010,013102,188201.2759,2000.0
2010,013200,286420.8736,2000.0
2010,013300,250598.9399,2000.0
2010,013400,234299.2951,1860.835384
2010,013500,155954.3742,1680.094501
2010,015100,121862.5513,1627.804685
2010,015200,114668.1548,1533.455671
2010,015300,178068.4191,1616.437334
2010,015400,138712.3759,1723.290435
2010,015500,77526.47162,1533.455671
2010,015600,109117.4772,1561.874049
2010,015700,130644.9668,1740.341462
2010,015801,92565.47719,1291.331091
2010,015802,92464.30777,1747.161873
2010,015900,73717.27224,1578.925076
2010,016000,83147.62676,1387.953576
2010,016100,47499.61354,611.5634922
2010,016200,69222.6216,1316.339264
2010,016300,100491.9312,1332.253555
2010,016400,113392.738,1715.333289
2010,016500,121005.4531,1622.12101
2010,016600,113271.1073,1829.006801
2010,016700,121838.6799,1723.290435
2010,016801,120842.8999,1601.659778
2010,016802,113998.6178,1422.05563
2010,016900,119508.3729,1721.016965
2010,017000,156116.9273,1829.006801
2010,017101,171593.5759,1790.357807
2010,017102,158414.269,1957.457869
2010,017601,53136.68298,866.1921581
2010,017700,103374.6914,1436.833186
2010,017801,82250.74276,341.0205347
2010,017802,127670.131,1576.651605
2010,017902,71939.41852,2000.0
2010,018000,147333.3751,2000.0
2010,020100,68257.53348,994.6432261
2010,020200,89381.48214,1304.971913
2010,020300,130087.9666,1860.835384
2010,020401,148644.0307,2000.0
2010,020402,131100.7976,1742.614932
2010,020500,133700.5108,1581.198546
2010,020600,168702.8585,1838.100682
2010,020700,138796.4943,1696.008792
2010,020800,88189.047,1150.375937
2010,020900,80928.71982,1094.675916
2010,021000,135801.1973,1613.027129
2010,021100,191130.6423,1854.014973
2010,021200,204283.8044,1840.374152
2010,021300,198787.6901,1902.894583
2010,021400,144808.6864,1923.355816
2010,021500,144554.0577,1847.194563
2010,021600,137903.0205,1702.829203
2010,021700,140106.0132,1433.422981
2010,021800,150833.3825,2000.0
2010,022600,189615.3744,2000.0
2010,022702,193031.2634,2000.0
2010,022704,185805.0383,2000.0
2010,022801,134991.8419,1534.592406
2010,022802,116980.274,1401.594397
2010,022803,92219.90972,1594.839367
2010,022901,85953.08903,1428.87604
2010,022902,79230.43755,1599.386308
2010,022903,100504.4352,1570.96793
2010,023001,66327.35726,1386.816841
2010,023003,101935.5848,1057.163657
2010,023102,59603.56905,803.6717267
2010,023103,32224.16706,469.4716027
2010,023200,66688.83902,1326.56988
2010,023300,104800.1572,1975.645631
2010,023400,65528.23247,802.5349916
2010,025100,125676.2976,2000.0
2010,025200,147735.7793,1536.865876
2010,025300,126312.8693,1486.849531
2010,025401,111878.6068,1743.751667
2010,025402,120315.4548,1437.969921
2010,025403,107910.2645,1124.231029
2010,025500,120108.569,1465.251564
2010,025600,89164.36573,2000.0
2010,025701,100678.3557,1824.45986
2010,025702,76828.51625,1701.692468
2010,025800,81486.85676,1225.400455
2010,025900,107719.293,2000.0
2010,026001,98506.05491,1343.620907
2010,026002,84940.25804,1874.476206
2010,026003,95563.04769,1791.494542
2010,026004,99897.41869,1259.502508
2010,026100,99018.72245,1582.335281
2010,026200,105909.6107,1512.994439
2010,026301,90648.94179,1575.51487
2010,026302,84157.04754,1611.890394
2010,026303,110162.1368,1407.278073
2010,026401,74017.37031,1189.024931
2010,026402,90520.49072,1522.08832
2010,026403,66333.04093,1350.441317
2010,026404,64964.41185,819.5860183
2010,030101,147613.0119,1899.484378
2010,030102,141949.7976,1896.074173
2010,030201,98709.53049,1581.198546
2010,030202,112373.0866,1664.180209
2010,030301,143611.7043,1877.886411
2010,030302,135796.6504,2000.0
